trip_id,visit_event_id,driver_id,designed_type,environment_id,dataset_partition,data_quality,month,period_role,visit_date,visit_label,latitude,longitude,trip_distance_km,risk_event_count,data_coverage_pct,source_status
gaip-001-202511-01,visit-gaip-001-202511-01,gaip-001,stable_reward,dense_urban,development,good,2025-11,baseline,2025-11-04,Routine Hub A,37.862909,126.524981,6.39,0,95.0,simulated
gaip-001-202511-02,visit-gaip-001-202511-02,gaip-001,stable_reward,dense_urban,development,good,2025-11,baseline,2025-11-07,Routine Hub B,37.868953,126.532578,10.9,0,96.0,simulated
gaip-001-202511-03,visit-gaip-001-202511-03,gaip-001,stable_reward,dense_urban,development,good,2025-11,baseline,2025-11-10,Routine Hub B,37.869379,126.532478,11.09,0,98.8,simulated
gaip-001-202511-04,visit-gaip-001-202511-04,gaip-001,stable_reward,dense_urban,development,good,2025-11,baseline,2025-11-13,Routine Hub B,37.869257,126.532467,8.87,0,98.0,simulated
gaip-001-202511-05,visit-gaip-001-202511-05,gaip-001,stable_reward,dense_urban,development,good,2025-11,baseline,2025-11-16,Routine Hub A,37.862634,126.52529,6.12,0,98.2,simulated
gaip-001-202512-01,visit-gaip-001-202512-01,gaip-001,stable_reward,dense_urban,development,good,2025-12,baseline,2025-12-04,Routine Hub A,37.862617,126.525451,6.82,0,98.1,simulated
gaip-001-202512-02,visit-gaip-001-202512-02,gaip-001,stable_reward,dense_urban,development,good,2025-12,baseline,2025-12-07,Routine Hub A,37.86241,126.525343,5.71,0,99.2,simulated
gaip-001-202512-03,visit-gaip-001-202512-03,gaip-001,stable_reward,dense_urban,development,good,2025-12,baseline,2025-12-10,Routine Hub A,37.862841,126.525298,5.34,0,95.7,simulated
gaip-001-202512-04,visit-gaip-001-202512-04,gaip-001,stable_reward,dense_urban,development,good,2025-12,baseline,2025-12-13,Routine Hub B,37.869408,126.532423,8.62,0,99.4,simulated
gaip-001-202512-05,visit-gaip-001-202512-05,gaip-001,stable_reward,dense_urban,development,good,2025-12,baseline,2025-12-16,Routine Hub A,37.862981,126.525422,6.62,0,97.1,simulated
gaip-001-202601-01,visit-gaip-001-202601-01,gaip-001,stable_reward,dense_urban,development,good,2026-01,evaluation,2026-01-04,Routine Hub B,37.869075,126.532611,9.81,0,99.4,simulated
gaip-001-202601-02,visit-gaip-001-202601-02,gaip-001,stable_reward,dense_urban,development,good,2026-01,evaluation,2026-01-07,Routine Hub B,37.869278,126.532653,8.74,0,96.7,simulated
gaip-001-202601-03,visit-gaip-001-202601-03,gaip-001,stable_reward,dense_urban,development,good,2026-01,evaluation,2026-01-10,Routine Hub B,37.869273,126.532498,9.08,0,96.0,simulated
gaip-001-202601-04,visit-gaip-001-202601-04,gaip-001,stable_reward,dense_urban,development,good,2026-01,evaluation,2026-01-13,Routine Hub B,37.869141,126.532355,9.72,0,95.5,simulated
gaip-001-202601-05,visit-gaip-001-202601-05,gaip-001,stable_reward,dense_urban,development,good,2026-01,evaluation,2026-01-16,Routine Hub B,37.869187,126.531973,12.04,0,97.5,simulated
gaip-001-202602-01,visit-gaip-001-202602-01,gaip-001,stable_reward,dense_urban,development,good,2026-02,evaluation,2026-02-04,Routine Hub B,37.869403,126.532511,9.86,0,99.0,simulated
gaip-001-202602-02,visit-gaip-001-202602-02,gaip-001,stable_reward,dense_urban,development,good,2026-02,evaluation,2026-02-07,Routine Hub B,37.86929,126.531997,11.58,0,96.6,simulated
gaip-001-202602-03,visit-gaip-001-202602-03,gaip-001,stable_reward,dense_urban,development,good,2026-02,evaluation,2026-02-10,Routine Hub A,37.862471,126.525487,6.15,0,97.3,simulated
gaip-001-202602-04,visit-gaip-001-202602-04,gaip-001,stable_reward,dense_urban,development,good,2026-02,evaluation,2026-02-13,Routine Hub A,37.862574,126.525327,5.55,0,95.6,simulated
gaip-001-202602-05,visit-gaip-001-202602-05,gaip-001,stable_reward,dense_urban,development,good,2026-02,evaluation,2026-02-16,Routine Hub B,37.869007,126.532734,9.77,0,97.0,simulated
gaip-001-202602-06,visit-gaip-001-202602-06,gaip-001,stable_reward,dense_urban,development,good,2026-02,evaluation,2026-02-19,Routine Hub A,37.862712,126.525576,6.99,0,98.7,simulated
gaip-001-202603-01,visit-gaip-001-202603-01,gaip-001,stable_reward,dense_urban,development,good,2026-03,evaluation,2026-03-04,Routine Hub A,37.86275,126.525266,5.52,0,98.0,simulated
gaip-001-202603-02,visit-gaip-001-202603-02,gaip-001,stable_reward,dense_urban,development,good,2026-03,evaluation,2026-03-07,Routine Hub A,37.86283,126.525198,6.46,0,95.9,simulated
gaip-001-202603-03,visit-gaip-001-202603-03,gaip-001,stable_reward,dense_urban,development,good,2026-03,evaluation,2026-03-10,Routine Hub A,37.862617,126.52503,5.41,0,98.7,simulated
gaip-001-202603-04,visit-gaip-001-202603-04,gaip-001,stable_reward,dense_urban,development,good,2026-03,evaluation,2026-03-13,Routine Hub B,37.869327,126.532335,11.46,0,99.1,simulated
gaip-001-202603-05,visit-gaip-001-202603-05,gaip-001,stable_reward,dense_urban,development,good,2026-03,evaluation,2026-03-16,Routine Hub B,37.869068,126.532134,9.98,0,99.5,simulated
gaip-001-202603-06,visit-gaip-001-202603-06,gaip-001,stable_reward,dense_urban,development,good,2026-03,evaluation,2026-03-19,Routine Hub A,37.862734,126.524946,5.72,0,96.2,simulated
gaip-001-202604-01,visit-gaip-001-202604-01,gaip-001,stable_reward,dense_urban,development,good,2026-04,evaluation,2026-04-04,Routine Hub A,37.862462,126.525313,6.85,0,98.8,simulated
gaip-001-202604-02,visit-gaip-001-202604-02,gaip-001,stable_reward,dense_urban,development,good,2026-04,evaluation,2026-04-07,Routine Hub B,37.869475,126.532316,10.51,0,98.9,simulated
gaip-001-202604-03,visit-gaip-001-202604-03,gaip-001,stable_reward,dense_urban,development,good,2026-04,evaluation,2026-04-10,Routine Hub A,37.862411,126.525365,5.75,0,95.6,simulated
gaip-001-202604-04,visit-gaip-001-202604-04,gaip-001,stable_reward,dense_urban,development,good,2026-04,evaluation,2026-04-13,Routine Hub B,37.869205,126.532327,9.33,0,98.5,simulated
gaip-001-202604-05,visit-gaip-001-202604-05,gaip-001,stable_reward,dense_urban,development,good,2026-04,evaluation,2026-04-16,Routine Hub A,37.862996,126.525035,5.81,0,97.1,simulated
gaip-001-202605-01,visit-gaip-001-202605-01,gaip-001,stable_reward,dense_urban,development,good,2026-05,evaluation,2026-05-04,Routine Hub B,37.869205,126.532587,11.71,0,98.8,simulated
gaip-001-202605-02,visit-gaip-001-202605-02,gaip-001,stable_reward,dense_urban,development,good,2026-05,evaluation,2026-05-07,Routine Hub A,37.862858,126.525348,6.93,0,97.4,simulated
gaip-001-202605-03,visit-gaip-001-202605-03,gaip-001,stable_reward,dense_urban,development,good,2026-05,evaluation,2026-05-10,Routine Hub A,37.862603,126.525059,7.16,0,97.0,simulated
gaip-001-202605-04,visit-gaip-001-202605-04,gaip-001,stable_reward,dense_urban,development,good,2026-05,evaluation,2026-05-13,Routine Hub A,37.862983,126.525228,7.01,0,100.0,simulated
gaip-001-202605-05,visit-gaip-001-202605-05,gaip-001,stable_reward,dense_urban,development,good,2026-05,evaluation,2026-05-16,Routine Hub A,37.862685,126.525107,7.23,0,98.8,simulated
gaip-001-202606-01,visit-gaip-001-202606-01,gaip-001,stable_reward,dense_urban,development,good,2026-06,evaluation,2026-06-04,Routine Hub B,37.869249,126.532613,9.5,0,97.3,simulated
gaip-001-202606-02,visit-gaip-001-202606-02,gaip-001,stable_reward,dense_urban,development,good,2026-06,evaluation,2026-06-07,Routine Hub B,37.86941,126.53216,10.99,0,95.6,simulated
gaip-001-202606-03,visit-gaip-001-202606-03,gaip-001,stable_reward,dense_urban,development,good,2026-06,evaluation,2026-06-10,Routine Hub B,37.869099,126.532317,12.03,0,97.9,simulated
gaip-001-202606-04,visit-gaip-001-202606-04,gaip-001,stable_reward,dense_urban,development,good,2026-06,evaluation,2026-06-13,Routine Hub B,37.869285,126.532178,10.64,0,97.0,simulated
gaip-001-202606-05,visit-gaip-001-202606-05,gaip-001,stable_reward,dense_urban,development,good,2026-06,evaluation,2026-06-16,Routine Hub B,37.869325,126.532397,12.08,0,96.6,simulated
gaip-001-202607-01,visit-gaip-001-202607-01,gaip-001,stable_reward,dense_urban,development,good,2026-07,evaluation,2026-07-04,Routine Hub A,37.862559,126.524985,5.56,0,99.8,simulated
gaip-001-202607-02,visit-gaip-001-202607-02,gaip-001,stable_reward,dense_urban,development,good,2026-07,evaluation,2026-07-07,Routine Hub B,37.869196,126.532849,8.62,0,98.0,simulated
gaip-001-202607-03,visit-gaip-001-202607-03,gaip-001,stable_reward,dense_urban,development,good,2026-07,evaluation,2026-07-10,Routine Hub B,37.869245,126.532672,10.33,1,97.9,simulated
gaip-001-202607-04,visit-gaip-001-202607-04,gaip-001,stable_reward,dense_urban,development,good,2026-07,evaluation,2026-07-13,Routine Hub A,37.862807,126.525198,7.12,0,96.5,simulated
gaip-001-202607-05,visit-gaip-001-202607-05,gaip-001,stable_reward,dense_urban,development,good,2026-07,evaluation,2026-07-16,Routine Hub A,37.862739,126.524982,5.8,0,98.5,simulated
gaip-001-202608-01,visit-gaip-001-202608-01,gaip-001,stable_reward,dense_urban,development,good,2026-08,evaluation,2026-08-04,Routine Hub B,37.869144,126.532451,12.05,0,96.1,simulated
gaip-001-202608-02,visit-gaip-001-202608-02,gaip-001,stable_reward,dense_urban,development,good,2026-08,evaluation,2026-08-07,Routine Hub A,37.862699,126.525087,6.38,0,98.6,simulated
gaip-001-202608-03,visit-gaip-001-202608-03,gaip-001,stable_reward,dense_urban,development,good,2026-08,evaluation,2026-08-10,Routine Hub B,37.869523,126.532262,11.4,0,96.6,simulated
gaip-001-202608-04,visit-gaip-001-202608-04,gaip-001,stable_reward,dense_urban,development,good,2026-08,evaluation,2026-08-13,Routine Hub A,37.862684,126.524932,6.59,0,100.0,simulated
gaip-001-202608-05,visit-gaip-001-202608-05,gaip-001,stable_reward,dense_urban,development,good,2026-08,evaluation,2026-08-16,Routine Hub B,37.869159,126.532327,10.6,0,99.6,simulated
gaip-001-202609-01,visit-gaip-001-202609-01,gaip-001,stable_reward,dense_urban,development,good,2026-09,evaluation,2026-09-04,Routine Hub B,37.869379,126.532644,11.48,0,98.6,simulated
gaip-001-202609-02,visit-gaip-001-202609-02,gaip-001,stable_reward,dense_urban,development,good,2026-09,evaluation,2026-09-07,Routine Hub A,37.862764,126.525196,6.83,0,98.1,simulated
gaip-001-202609-03,visit-gaip-001-202609-03,gaip-001,stable_reward,dense_urban,development,good,2026-09,evaluation,2026-09-10,Routine Hub A,37.862792,126.52517,6.99,0,95.4,simulated
gaip-001-202609-04,visit-gaip-001-202609-04,gaip-001,stable_reward,dense_urban,development,good,2026-09,evaluation,2026-09-13,Routine Hub B,37.869261,126.532524,10.54,0,98.8,simulated
gaip-001-202609-05,visit-gaip-001-202609-05,gaip-001,stable_reward,dense_urban,development,good,2026-09,evaluation,2026-09-16,Routine Hub A,37.862741,126.525397,6.26,0,99.4,simulated
gaip-001-202610-01,visit-gaip-001-202610-01,gaip-001,stable_reward,dense_urban,development,good,2026-10,evaluation,2026-10-04,Routine Hub A,37.862733,126.52498,5.48,0,97.3,simulated
gaip-001-202610-02,visit-gaip-001-202610-02,gaip-001,stable_reward,dense_urban,development,good,2026-10,evaluation,2026-10-07,Routine Hub B,37.869098,126.532003,11.42,0,96.3,simulated
gaip-001-202610-03,visit-gaip-001-202610-03,gaip-001,stable_reward,dense_urban,development,good,2026-10,evaluation,2026-10-10,Routine Hub A,37.862652,126.525084,6.01,0,97.2,simulated
