candidate_id,rank,threshold_candidate_id,care_threshold,care_threshold_percentile,tier_threshold_json,w_mileage,w_in_zone,w_out_zone_safe,w_out_zone_change,customer_id,persona_type,risk_change_target,expected_care_decision,proxy_label_is_target,mileage_baseline_score,in_zone_safe_score,out_zone_safe_score,risk_change_score,senior_safe_mileage_score,baseline_detected,proposed_detected,tier,care_decision
policy_30_30_20_20_p20_a75,1,threshold_p20_s85_a75_b65,41.14,0.2,"{""A"":75,""B"":65,""C"":0,""S"":85}",0.3,0.3,0.2,0.2,cust_001,stable_local_low_mileage,False,우대,False,73.06,97.6,100.0,5.28,90.14,False,False,S,우대
policy_30_30_20_20_p20_a75,1,threshold_p20_s85_a75_b65,41.14,0.2,"{""A"":75,""B"":65,""C"":0,""S"":85}",0.3,0.3,0.2,0.2,cust_002,stable_local_low_mileage,False,우대,False,75.5,97.55,100.0,2.34,91.45,False,False,S,우대
policy_30_30_20_20_p20_a75,1,threshold_p20_s85_a75_b65,41.14,0.2,"{""A"":75,""B"":65,""C"":0,""S"":85}",0.3,0.3,0.2,0.2,cust_003,stable_local_low_mileage,False,우대,False,64.88,94.57,100.0,3.43,87.15,False,False,S,우대
policy_30_30_20_20_p20_a75,1,threshold_p20_s85_a75_b65,41.14,0.2,"{""A"":75,""B"":65,""C"":0,""S"":85}",0.3,0.3,0.2,0.2,cust_004,stable_local_low_mileage,False,우대,False,77.85,97.29,100.0,11.26,90.29,False,False,S,우대
policy_30_30_20_20_p20_a75,1,threshold_p20_s85_a75_b65,41.14,0.2,"{""A"":75,""B"":65,""C"":0,""S"":85}",0.3,0.3,0.2,0.2,cust_005,stable_local_low_mileage,False,우대,False,70.55,95.6,100.0,6.69,88.51,False,False,S,우대
policy_30_30_20_20_p20_a75,1,threshold_p20_s85_a75_b65,41.14,0.2,"{""A"":75,""B"":65,""C"":0,""S"":85}",0.3,0.3,0.2,0.2,cust_006,stable_outer_safe,False,기본,False,45.66,94.08,96.02,5.49,80.03,False,False,A,우대
policy_30_30_20_20_p20_a75,1,threshold_p20_s85_a75_b65,41.14,0.2,"{""A"":75,""B"":65,""C"":0,""S"":85}",0.3,0.3,0.2,0.2,cust_007,stable_outer_safe,False,기본,False,52.38,96.67,90.48,6.39,81.53,False,False,A,우대
policy_30_30_20_20_p20_a75,1,threshold_p20_s85_a75_b65,41.14,0.2,"{""A"":75,""B"":65,""C"":0,""S"":85}",0.3,0.3,0.2,0.2,cust_008,stable_outer_safe,False,기본,False,31.84,92.68,92.69,9.38,74.02,False,False,B,기본
policy_30_30_20_20_p20_a75,1,threshold_p20_s85_a75_b65,41.14,0.2,"{""A"":75,""B"":65,""C"":0,""S"":85}",0.3,0.3,0.2,0.2,cust_009,stable_outer_safe,False,기본,False,37.1,93.12,94.53,9.44,76.08,False,False,A,우대
policy_30_30_20_20_p20_a75,1,threshold_p20_s85_a75_b65,41.14,0.2,"{""A"":75,""B"":65,""C"":0,""S"":85}",0.3,0.3,0.2,0.2,cust_010,stable_outer_safe,False,기본,False,54.56,98.04,88.87,17.51,80.05,False,False,A,우대
policy_30_30_20_20_p20_a75,1,threshold_p20_s85_a75_b65,41.14,0.2,"{""A"":75,""B"":65,""C"":0,""S"":85}",0.3,0.3,0.2,0.2,cust_011,recent_outer_risk_change,True,예방 케어,True,66.33,52.73,77.78,97.8,51.71,False,True,C,예방 케어
