schema_version,customer_id,driver_id,persona_type,persona_display_name_ko,vehicle_class,base_premium_krw,annual_total_distance_km,annual_distance_scope,baseline_60_day_excluded_from_discount,existing_discount_table_id,existing_matched_tier_label,existing_discount_rate_pct,existing_discount_amount_krw,existing_net_premium_krw,proposed_discount_rule_id,annual_senior_safe_mileage_score,annual_score_tier,annual_decision_signal,annual_out_zone_pattern_change_risk,proposed_pricing_action,preventive_care_required,proposed_rationale_code,annual_reason_codes,same_input_contract_id,same_input_contract_json,proposed_discount_rate_pct,proposed_discount_amount_krw,proposed_net_premium_krw,discount_rate_delta_pct,discount_amount_delta_krw,premium_delta_krw
senior-safe-mileage-annual-ab-comparison/v1,cust_001,driver_001,stable_local_low_mileage,생활권 안 저주행 안정형,personal_passenger_general,825000,3200.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,4천km 이하,25.0,206250,618750,annual_integrated_score_adjusted_discount/v4,82.78,A,우대,33.17,annual_integrated_score_adjusted_discount,0,HIGH_INTEGRATED_SCORE_RECEIVES_RATE_UPLIFT,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_RISK_EVENTS|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,same-annual-input:c22f175b9f5cde47,"{""annual_total_distance_km"":3200.0,""base_premium_krw"":825000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:c22f175b9f5cde47"",""customer_id"":""cust_001"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_passenger_general""}",29.12,240240,584760,4.12,33990,-33990
senior-safe-mileage-annual-ab-comparison/v1,cust_002,driver_002,stable_local_low_mileage,생활권 안 저주행 안정형,personal_passenger_general,853000,2800.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,3천km 이하,28.0,238840,614160,annual_integrated_score_adjusted_discount/v4,86.11,S,우대,22.93,annual_integrated_score_adjusted_discount,0,HIGH_INTEGRATED_SCORE_RECEIVES_RATE_UPLIFT,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_RISK_EVENTS|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,same-annual-input:17410f38e134e578,"{""annual_total_distance_km"":2800.0,""base_premium_krw"":853000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:17410f38e134e578"",""customer_id"":""cust_002"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_passenger_general""}",33.89,289082,563918,5.89,50242,-50242
senior-safe-mileage-annual-ab-comparison/v1,cust_003,driver_003,stable_local_low_mileage,생활권 안 저주행 안정형,personal_passenger_ev_hydrogen,851000,4100.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,5천km 이하,27.0,229770,621230,annual_integrated_score_adjusted_discount/v4,83.54,A,우대,20.51,annual_integrated_score_adjusted_discount,0,HIGH_INTEGRATED_SCORE_RECEIVES_RATE_UPLIFT,OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,same-annual-input:d575bc0497e0bb79,"{""annual_total_distance_km"":4100.0,""base_premium_krw"":851000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:d575bc0497e0bb79"",""customer_id"":""cust_003"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_passenger_ev_hydrogen""}",31.18,265342,585658,4.18,35572,-35572
senior-safe-mileage-annual-ab-comparison/v1,cust_004,driver_004,stable_local_low_mileage,생활권 안 저주행 안정형,personal_passenger_general,809000,2600.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,3천km 이하,28.0,226520,582480,annual_integrated_score_adjusted_discount/v4,83.02,A,우대,38.38,annual_integrated_score_adjusted_discount,0,HIGH_INTEGRATED_SCORE_RECEIVES_RATE_UPLIFT,OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE,same-annual-input:9384e20c028b5295,"{""annual_total_distance_km"":2600.0,""base_premium_krw"":809000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:9384e20c028b5295"",""customer_id"":""cust_004"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_passenger_general""}",32.14,260013,548987,4.14,33493,-33493
senior-safe-mileage-annual-ab-comparison/v1,cust_005,driver_005,stable_local_low_mileage,생활권 안 저주행 안정형,personal_business,817000,3600.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,4천km 이하,12.0,98040,718960,annual_integrated_score_adjusted_discount/v4,84.62,A,우대,20.78,annual_integrated_score_adjusted_discount,0,HIGH_INTEGRATED_SCORE_RECEIVES_RATE_UPLIFT,OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_RISK_EVENTS|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,same-annual-input:5287d1359d6192b5,"{""annual_total_distance_km"":3600.0,""base_premium_krw"":817000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:5287d1359d6192b5"",""customer_id"":""cust_005"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_business""}",16.27,132926,684074,4.27,34886,-34886
senior-safe-mileage-annual-ab-comparison/v1,cust_006,driver_006,stable_outer_safe,생활권 밖 안정 주행형,personal_passenger_general,920000,6500.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,7천km 이하,21.0,193200,726800,annual_integrated_score_adjusted_discount/v4,74.12,B,기본,28.51,annual_integrated_score_adjusted_discount,0,STANDARD_SCORE_RECEIVES_SMALL_RATE_ADJUSTMENT,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,same-annual-input:d50fe79738cf0321,"{""annual_total_distance_km"":6500.0,""base_premium_krw"":920000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:d50fe79738cf0321"",""customer_id"":""cust_006"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_passenger_general""}",21.34,196328,723672,0.34,3128,-3128
senior-safe-mileage-annual-ab-comparison/v1,cust_007,driver_007,stable_outer_safe,생활권 밖 안정 주행형,personal_passenger_general,913000,5900.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,6천km 이하,22.0,200860,712140,annual_integrated_score_adjusted_discount/v4,75.62,A,우대,28.76,annual_integrated_score_adjusted_discount,0,HIGH_INTEGRATED_SCORE_RECEIVES_RATE_UPLIFT,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,same-annual-input:4965d40e24f9a5f7,"{""annual_total_distance_km"":5900.0,""base_premium_krw"":913000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:4965d40e24f9a5f7"",""customer_id"":""cust_007"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_passenger_general""}",25.55,233272,679728,3.55,32412,-32412
senior-safe-mileage-annual-ab-comparison/v1,cust_008,driver_008,stable_outer_safe,생활권 밖 안정 주행형,personal_passenger_ev_hydrogen,941000,8200.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,9천km 이하,20.0,188200,752800,annual_integrated_score_adjusted_discount/v4,71.4,B,기본,21.67,annual_integrated_score_adjusted_discount,0,STANDARD_SCORE_RECEIVES_SMALL_RATE_ADJUSTMENT,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,same-annual-input:0311febb1c336449,"{""annual_total_distance_km"":8200.0,""base_premium_krw"":941000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:0311febb1c336449"",""customer_id"":""cust_008"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_passenger_ev_hydrogen""}",19.9,187259,753741,-0.1,-941,941
senior-safe-mileage-annual-ab-comparison/v1,cust_009,driver_009,stable_outer_safe,생활권 밖 안정 주행형,personal_passenger_general,949000,7100.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,8천km 이하,18.0,170820,778180,annual_integrated_score_adjusted_discount/v4,73.81,B,기본,24.27,annual_integrated_score_adjusted_discount,0,STANDARD_SCORE_RECEIVES_SMALL_RATE_ADJUSTMENT,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,same-annual-input:02df5eabf7a19e04,"{""annual_total_distance_km"":7100.0,""base_premium_krw"":949000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:02df5eabf7a19e04"",""customer_id"":""cust_009"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_passenger_general""}",18.29,173572,775428,0.29,2752,-2752
senior-safe-mileage-annual-ab-comparison/v1,cust_010,driver_010,stable_outer_safe,생활권 밖 안정 주행형,personal_business,912000,5600.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,6천km 이하,8.0,72960,839040,annual_integrated_score_adjusted_discount/v4,76.7,A,우대,26.56,annual_integrated_score_adjusted_discount,0,HIGH_INTEGRATED_SCORE_RECEIVES_RATE_UPLIFT,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,same-annual-input:9c0ff6ef1f3474ba,"{""annual_total_distance_km"":5600.0,""base_premium_krw"":912000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:9c0ff6ef1f3474ba"",""customer_id"":""cust_010"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_business""}",11.64,106157,805843,3.64,33197,-33197
senior-safe-mileage-annual-ab-comparison/v1,cust_011,driver_011,recent_outer_risk_change,최근 생활권 밖 위험변화형,personal_passenger_general,915000,3900.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,4천km 이하,25.0,228750,686250,annual_integrated_score_adjusted_discount/v4,64.79,B,예방 케어,71.85,score_adjusted_discount_with_preventive_care,1,PREVENTIVE_CARE_DISCOUNT_REDUCED_AND_CARE,PREVENTIVE_CARE_REVIEW|OUT_ZONE_PATTERN_CHANGE_RISK|RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|NIGHT_DRIVING_INCREASE|LOW_MILEAGE,same-annual-input:f5f8e72dce48323c,"{""annual_total_distance_km"":3900.0,""base_premium_krw"":915000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:f5f8e72dce48323c"",""customer_id"":""cust_011"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_passenger_general""}",12.31,112636,802364,-12.69,-116114,116114
senior-safe-mileage-annual-ab-comparison/v1,cust_012,driver_012,recent_outer_risk_change,최근 생활권 밖 위험변화형,personal_passenger_general,953000,4300.0,evaluation_period_only,1,samsungfire_direct_mileage_discount_2026_04_11,5천km 이하,23.0,219190,733810,annual_integrated_score_adjusted_discount/v4,62.45,B,예방 케어,79.09,score_adjusted_discount_with_preventive_care,1,PREVENTIVE_CARE_DISCOUNT_REDUCED_AND_CARE,PREVENTIVE_CARE_REVIEW|OUT_ZONE_PATTERN_CHANGE_RISK|RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|NIGHT_DRIVING_INCREASE|LOW_MILEAGE,same-annual-input:ed5cacced6c2dc9e,"{""annual_total_distance_km"":4300.0,""base_premium_krw"":953000,""baseline_60_day_usage"":""living_zone_fit_only"",""contract_id"":""same-annual-input:ed5cacced6c2dc9e"",""customer_id"":""cust_012"",""evaluation_year"":2026,""existing_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw""],""period_role_scope"":""evaluation"",""proposed_budget_rule"":""score_adjusted_discount_without_portfolio_budget_forcing"",""proposed_model_inputs"":[""annual_total_distance_km"",""vehicle_class"",""base_premium_krw"",""annual_senior_safe_mileage_score"",""annual_out_zone_pattern_change_risk""],""vehicle_class"":""personal_passenger_general""}",9.45,90058,862942,-13.55,-129132,129132
