schema_version,customer_id,driver_id,persona_type,selected_policy_id,months_evaluated,annual_total_distance_km,annual_trip_count,annual_in_zone_distance_km,annual_out_zone_distance_km,annual_in_zone_distance_ratio,annual_out_zone_distance_ratio,annual_living_zone_stability_score,annual_mileage_score,annual_in_zone_safe_driving_score,annual_out_zone_safe_driving_score,annual_out_zone_pattern_change_risk,annual_senior_safe_mileage_score,annual_score_tier,annual_decision_signal,preventive_care_detected,care_threshold,tier_threshold_json,weights_json,risk_aggregation_method,weighted_annual_risk_avg,trailing_quarter_risk_avg,monthly_p90_risk,high_risk_month_count,candidate_living_zone_month_count,out_zone_safe_month_count,out_zone_pattern_change_risk_month_count,existing_living_zone_trip_count,candidate_living_zone_trip_count,out_zone_safe_driving_trip_count,out_zone_pattern_change_risk_trip_count,dominant_annual_interpretation,annual_reason_codes,monthly_scores_are_evidence_not_discount_rates
senior-annual-score-table/v1,cust_001,driver_001,stable_local_low_mileage,policy_30_30_20_20_p20_a75,12,3200.0,155,2213.71,986.29,0.6918,0.3082,69.18,73.33,95.85,93.3,33.17,82.78,A,우대,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",13.34,16.42,33.17,0,3,12,7,107,4,35,9,existing_living_zone,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_RISK_EVENTS|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_002,driver_002,stable_local_low_mileage,policy_30_30_20_20_p20_a75,12,2800.0,134,2157.93,642.07,0.7707,0.2293,77.07,76.67,94.44,96.81,22.93,86.11,S,우대,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",10.66,11.13,22.93,0,2,10,3,104,3,24,3,existing_living_zone,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_RISK_EVENTS|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_003,driver_003,stable_local_low_mileage,policy_30_30_20_20_p20_a75,12,4100.0,194,3046.14,1053.86,0.743,0.257,74.3,65.83,96.8,94.27,20.51,83.54,A,우대,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",7.1,6.28,20.51,0,1,11,6,143,1,41,9,existing_living_zone,OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_004,driver_004,stable_local_low_mileage,policy_30_30_20_20_p20_a75,12,2600.0,126,1801.05,798.95,0.6927,0.3073,69.27,78.33,95.56,92.64,38.38,83.02,A,우대,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",17.84,18.21,38.38,0,1,11,4,88,2,30,6,existing_living_zone,OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE,1
senior-annual-score-table/v1,cust_005,driver_005,stable_local_low_mileage,policy_30_30_20_20_p20_a75,12,3600.0,169,2833.75,766.25,0.7872,0.2128,78.72,70.0,95.71,95.34,20.78,84.62,A,우대,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",7.69,2.92,20.78,0,1,12,4,131,3,31,4,existing_living_zone,OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_RISK_EVENTS|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_006,driver_006,stable_outer_safe,policy_30_30_20_20_p20_a75,12,6500.0,199,4854.01,1645.99,0.7468,0.2532,74.68,45.83,92.18,92.09,28.51,74.12,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",14.62,17.91,28.51,0,2,11,9,149,2,33,15,existing_living_zone,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_007,driver_007,stable_outer_safe,policy_30_30_20_20_p20_a75,12,5900.0,182,4011.68,1888.32,0.6799,0.3201,67.99,50.83,92.69,91.58,28.76,75.62,A,우대,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",14.49,17.91,28.76,0,2,12,11,124,2,37,19,existing_living_zone,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_008,driver_008,stable_outer_safe,policy_30_30_20_20_p20_a75,12,8200.0,255,5816.3,2383.7,0.7093,0.2907,70.93,31.67,93.02,91.65,21.67,71.4,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",12.13,19.27,21.67,0,3,11,11,180,6,40,29,existing_living_zone,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_009,driver_009,stable_outer_safe,policy_30_30_20_20_p20_a75,12,7100.0,229,5357.4,1742.6,0.7546,0.2454,75.46,40.83,92.64,93.13,24.27,73.81,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",13.49,14.56,24.27,0,2,11,10,174,3,34,18,existing_living_zone,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_010,driver_010,stable_outer_safe,policy_30_30_20_20_p20_a75,12,5600.0,173,4099.35,1500.65,0.732,0.268,73.2,53.33,93.55,89.74,26.56,76.7,A,우대,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",14.13,12.48,26.56,0,3,11,10,127,3,22,21,existing_living_zone,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
