driver_id,total_km,trip_count,avg_trip_km,night_ratio,speeding_per_100km,harsh_accel_per_100km,harsh_brake_per_100km,sharp_turn_per_100km,in_zone_total_km,in_zone_trip_count,in_zone_distance_ratio,in_zone_night_ratio,in_zone_speeding_per_100km,in_zone_harsh_accel_per_100km,in_zone_harsh_brake_per_100km,in_zone_sharp_turn_per_100km,in_zone_risk_events_per_100km,living_zone_outside_segment_count,living_zone_outside_segment_km,living_zone_outside_segment_night_ratio,living_zone_outside_segment_ratio,living_zone_outside_segment_distance_ratio,living_zone_outside_segment_speeding_count,living_zone_outside_segment_harsh_accel_count,living_zone_outside_segment_harsh_brake_count,living_zone_outside_segment_sharp_turn_count,living_zone_outside_segment_risk_event_count,living_zone_outside_segment_speeding_per_100km,living_zone_outside_segment_harsh_accel_per_100km,living_zone_outside_segment_harsh_brake_per_100km,living_zone_outside_segment_sharp_turn_per_100km,living_zone_outside_segment_risk_events_per_100km
driver_001,286.51,13,22.04,0.0,0.0,0.0,0.349,0.0,247.73,11,0.8646,0.0,0.0,0.0,0.4037,0.0,0.4037,2,38.78,0.0,0.1538,0.1354,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
driver_002,266.05,12,22.17,0.0,0.0,0.3759,0.0,0.0,266.05,12,1.0,0.0,0.0,0.3759,0.0,0.0,0.3759,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
driver_003,377.99,16,23.62,0.0,0.2646,0.0,0.5291,0.0,305.63,13,0.8086,0.0,0.3272,0.0,0.3272,0.0,0.6544,3,72.36,0.0,0.1875,0.1914,0,0,1,0,1,0.0,0.0,1.382,0.0,1.382
driver_004,236.36,11,21.49,0.0,0.0,0.0,0.4231,0.0,220.17,10,0.9315,0.0,0.0,0.0,0.4542,0.0,0.4542,1,16.19,0.0,0.0909,0.0685,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
driver_005,320.53,15,21.37,0.0,0.0,0.312,0.312,0.0,277.71,13,0.8664,0.0,0.0,0.3601,0.3601,0.0,0.7202,2,42.82,0.0,0.1333,0.1336,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
driver_006,577.07,17,33.95,0.0,0.1733,0.0,0.5199,0.1733,438.8,13,0.7604,0.0,0.0,0.0,0.6837,0.2279,0.9116,4,138.27,0.0,0.2353,0.2396,1,0,0,0,1,0.7232,0.0,0.0,0.0,0.7232
driver_007,508.99,15,33.93,0.0,0.0,0.3929,0.1965,0.1965,360.65,11,0.7086,0.0,0.0,0.2773,0.2773,0.0,0.5546,4,148.34,0.0,0.2667,0.2914,0,1,0,1,2,0.0,0.6741,0.0,0.6741,1.3483
driver_008,723.17,20,36.16,0.0391,0.2766,0.2766,0.2766,0.4148,456.0,13,0.6306,0.062,0.4386,0.0,0.0,0.6579,1.0965,7,267.17,0.0,0.35,0.3694,0,2,2,0,4,0.0,0.7486,0.7486,0.0,1.4972
driver_009,667.46,18,37.08,0.0504,0.1498,0.2996,0.1498,0.2996,474.54,13,0.711,0.0,0.2107,0.4215,0.2107,0.2107,1.0537,5,192.92,0.1743,0.2778,0.289,0,0,0,1,1,0.0,0.0,0.0,0.5183,0.5183
driver_010,494.56,14,35.33,0.0,0.0,0.2022,0.6066,0.0,346.31,10,0.7002,0.0,0.0,0.0,0.2888,0.0,0.2888,4,148.25,0.0,0.2857,0.2998,0,1,2,0,3,0.0,0.6745,1.3491,0.0,2.0236
driver_011,365.73,14,26.12,0.2099,1.6406,0.8203,2.4608,0.5469,177.95,7,0.4866,0.4313,2.2478,0.562,2.8098,0.562,6.1815,7,187.78,0.0,0.5,0.5134,2,2,4,1,9,1.0651,1.0651,2.1302,0.5325,4.7928
driver_012,390.71,16,24.42,0.2496,1.5357,2.3035,1.5357,0.5119,220.06,9,0.5632,0.1306,1.3633,2.7265,1.8177,0.0,5.9075,7,170.65,0.4029,0.4375,0.4368,3,3,2,2,10,1.758,1.758,1.172,1.172,5.8599
driver_013,335.11,13,25.78,0.3204,2.6857,0.2984,2.6857,1.1936,177.61,7,0.53,0.0,2.2521,0.0,3.3782,2.2521,7.8824,6,157.5,0.6818,0.4615,0.47,5,1,3,0,9,3.1746,0.6349,1.9048,0.0,5.7143
driver_014,375.57,18,20.86,0.2228,0.7988,1.3313,1.8638,1.065,246.01,12,0.655,0.2719,0.813,1.626,1.626,1.2195,5.2843,6,129.56,0.1296,0.3333,0.345,1,1,3,1,6,0.7718,0.7718,2.3155,0.7718,4.6311
driver_015,452.15,19,23.8,0.2957,2.4328,0.4423,3.7598,0.8847,288.82,12,0.6388,0.3248,2.4237,0.3462,2.4237,0.6925,5.886,7,163.33,0.2442,0.3684,0.3612,4,1,10,2,17,2.449,0.6123,6.1226,1.2245,10.4084
driver_016,274.98,13,21.15,0.0,1.8183,1.8183,1.8183,0.0,250.02,12,0.9092,0.0,1.9998,1.1999,1.9998,0.0,5.1996,1,24.96,0.0,0.0769,0.0908,0,2,0,0,2,0.0,8.0128,0.0,0.0,8.0128
driver_017,376.51,17,22.15,0.042,1.8592,1.5936,2.3904,0.2656,313.57,14,0.8328,0.0504,1.5945,1.5945,1.9134,0.3189,5.4214,3,62.94,0.0,0.1765,0.1672,2,1,3,0,6,3.1776,1.5888,4.7664,0.0,9.5329
driver_018,377.46,18,20.97,0.0681,2.1194,1.5896,2.3844,0.2649,309.61,15,0.8202,0.0,2.2609,1.6149,2.5839,0.323,6.7827,3,67.85,0.3789,0.1667,0.1798,1,1,1,0,3,1.4738,1.4738,1.4738,0.0,4.4215
driver_019,328.32,16,20.52,0.0492,2.1321,0.6092,3.3504,0.9137,285.31,14,0.869,0.0566,1.7525,0.701,3.8555,1.0515,7.3604,2,43.01,0.0,0.125,0.131,2,0,0,0,2,4.6501,0.0,0.0,0.0,4.6501
driver_020,265.31,12,22.11,0.0,0.3769,1.1308,4.1461,0.0,239.55,11,0.9029,0.0,0.4174,1.2523,4.5919,0.0,6.2617,1,25.76,0.0,0.0833,0.0971,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
driver_021,538.48,17,31.68,0.0,0.1857,0.0,0.9285,0.0,411.15,13,0.7635,0.0,0.2432,0.0,0.7297,0.0,0.9729,4,127.33,0.0,0.2353,0.2365,0,0,2,0,2,0.0,0.0,1.5707,0.0,1.5707
driver_022,481.07,16,30.07,0.0,0.2079,0.4157,0.4157,0.2079,350.77,12,0.7291,0.0,0.0,0.5702,0.5702,0.2851,1.4254,4,130.3,0.0,0.25,0.2709,1,0,0,0,1,0.7675,0.0,0.0,0.0,0.7675
driver_023,571.26,20,28.56,0.0,0.3501,0.1751,0.8753,0.1751,427.19,15,0.7478,0.0,0.4682,0.2341,0.9364,0.2341,1.8727,5,144.07,0.0,0.25,0.2522,0,0,1,0,1,0.0,0.0,0.6941,0.0,0.6941
driver_024,446.69,14,31.91,0.0,0.0,0.2239,0.2239,0.4477,354.23,11,0.793,0.0,0.0,0.2823,0.2823,0.5646,1.1292,3,92.46,0.0,0.2143,0.207,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
driver_025,539.38,19,28.39,0.0442,0.3708,0.5562,0.1854,0.1854,443.04,15,0.8214,0.0,0.2257,0.4514,0.2257,0.0,0.9029,4,96.34,0.2477,0.2105,0.1786,1,1,0,1,3,1.038,1.038,0.0,1.038,3.114
driver_026,588.3,17,34.61,0.0597,0.0,0.34,1.1899,0.5099,408.5,12,0.6944,0.086,0.0,0.2448,1.7136,0.7344,2.6928,5,179.8,0.0,0.2941,0.3056,0,1,0,0,1,0.0,0.5562,0.0,0.0,0.5562
driver_027,447.97,15,29.86,0.0576,0.4465,0.2232,0.4465,0.4465,335.34,11,0.7486,0.0,0.2982,0.2982,0.5964,0.2982,1.491,4,112.63,0.2292,0.2667,0.2514,1,0,0,1,2,0.8879,0.0,0.0,0.8879,1.7757
driver_028,678.67,21,32.32,0.0814,0.2947,0.1473,1.1788,0.442,464.85,14,0.6849,0.0,0.2151,0.2151,0.8605,0.6454,1.9361,7,213.82,0.2584,0.3333,0.3151,1,0,4,0,5,0.4677,0.0,1.8707,0.0,2.3384
driver_029,616.65,20,30.83,0.1018,0.973,0.6487,0.0,0.6487,462.86,15,0.7506,0.1357,0.6481,0.8642,0.0,0.4321,1.9444,5,153.79,0.0,0.25,0.2494,3,0,0,2,5,1.9507,0.0,0.0,1.3005,3.2512
driver_030,726.88,22,33.04,0.0879,0.5503,0.2751,1.2382,0.4127,514.51,16,0.7078,0.1242,0.7774,0.3887,1.1662,0.1944,2.5267,6,212.37,0.0,0.2727,0.2922,0,0,3,2,5,0.0,0.0,1.4126,0.9418,2.3544
