schema_version,customer_id,driver_id,persona_type,service_month,month,selected_policy_id,basis_status,basis_trip_count,scored_trip_count,dbscan_cluster_count,living_zone_departure_p90_raw_m,living_zone_departure_p90_threshold_m,living_zone_departure_threshold_sample_count,living_zone_departure_threshold_percentile,monthly_total_distance_km,monthly_annualized_distance_km,in_zone_distance_km,out_zone_distance_km,in_zone_distance_ratio,out_zone_distance_ratio,out_zone_ratio_delta,baseline_night_ratio,monthly_night_ratio,night_ratio_delta,baseline_risk_rate_per_100km,monthly_risk_rate_per_100km,risk_rate_delta_per_100km,monthly_risk_signal_count,in_zone_night_ratio,in_zone_risk_rate_per_100km,out_zone_night_ratio,out_zone_risk_rate_per_100km,mileage_score,in_zone_safe_driving_score,out_zone_safe_driving_score,out_zone_pattern_change_risk,monthly_integrated_evidence_score,score_role,existing_living_zone_trip_count,candidate_living_zone_trip_count,out_zone_safe_driving_trip_count,out_zone_pattern_change_risk_trip_count,dominant_interpretation,reason_codes,scenario_phase
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-01,1,policy_30_30_20_20_p20_a75,pre_policy_60_day_dbscan,24,13,2,769.81,769.81,24,0.9,249.6,2995.2,197.79,51.81,0.7924,0.2076,-0.0232,0.0,0.0,0.0,0.7604,0.8013,0.0409,2,0.0,0.5056,0.0,1.9301,75.04,96.97,89.38,2.51,88.98,annual_decision_evidence_not_monthly_discount,10,0,2,1,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-02,2,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,25,11,2,699.62,699.62,25,0.9,233.6,2803.2,154.06,79.54,0.6595,0.3405,-0.0253,0.0,0.0,0.0,0.8032,0.8562,0.0529,2,0.0,0.6491,0.0,1.2572,76.64,96.11,93.09,2.99,89.85,annual_decision_evidence_not_monthly_discount,7,0,3,1,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-03,3,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,24,13,2,691.59,691.59,24,0.9,262.4,3148.8,168.46,93.94,0.642,0.358,0.0862,0.0,0.0,0.0,0.8278,0.7622,-0.0656,2,0.0,0.5936,0.0,1.0645,73.76,96.44,93.99,12.36,87.39,annual_decision_evidence_not_monthly_discount,8,0,4,1,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-04,4,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,24,13,2,732.56,732.56,24,0.9,265.6,3187.2,247.54,18.06,0.932,0.068,-0.1311,0.0,0.0,0.0,0.8065,0.753,-0.0534,2,0.0,0.808,0.0,0.0,73.44,95.15,100.0,2.31,90.11,annual_decision_evidence_not_monthly_discount,12,0,1,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-05,5,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,25,13,2,704.87,704.87,25,0.9,278.4,3340.8,107.34,171.06,0.3856,0.6144,0.273,0.0,0.0,0.0,0.7913,0.7184,-0.0729,2,0.0,0.0,0.0,1.1692,72.16,98.63,88.28,34.16,82.06,annual_decision_evidence_not_monthly_discount,5,2,4,2,existing_living_zone,CANDIDATE_LIVING_ZONE|LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-06,6,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,25,13,2,791.31,791.31,25,0.9,262.4,3148.8,200.45,61.95,0.7639,0.2361,0.0287,0.0,0.0,0.0,0.758,0.7622,0.0042,2,0.0,0.9978,0.0,0.0,73.76,94.01,100.0,5.68,89.2,annual_decision_evidence_not_monthly_discount,10,1,2,0,existing_living_zone,CANDIDATE_LIVING_ZONE|LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-07,7,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,25,13,2,738.44,738.44,25,0.9,268.8,3225.6,244.07,24.73,0.908,0.092,-0.1962,0.0,0.0,0.0,0.775,0.744,-0.0309,2,0.0,0.8194,0.0,0.0,73.12,95.08,100.0,2.31,90.0,annual_decision_evidence_not_monthly_discount,12,0,1,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-08,8,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,25,13,2,698.25,698.25,25,0.9,281.6,3379.2,188.04,93.56,0.6678,0.3322,0.1883,0.0,0.0,0.0,0.7745,0.7102,-0.0643,2,0.0,1.0636,0.0,0.0,71.84,93.62,100.0,24.28,84.78,annual_decision_evidence_not_monthly_discount,9,0,4,0,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-09,9,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,24,13,2,760.14,760.14,24,0.9,275.2,3302.4,150.65,124.55,0.5474,0.4526,0.1607,0.0,0.0,0.0,0.7741,0.7267,-0.0473,2,0.0,0.6638,0.0,0.8029,72.48,96.02,93.53,21.06,85.04,annual_decision_evidence_not_monthly_discount,7,0,5,1,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-10,10,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,25,13,2,779.37,779.37,25,0.9,278.4,3340.8,213.27,65.13,0.7661,0.2339,-0.0803,0.0,0.0,0.0,0.3747,0.7184,0.3437,2,0.0,0.4689,0.0,1.5354,72.16,97.19,91.56,4.03,88.31,annual_decision_evidence_not_monthly_discount,10,0,2,1,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-11,11,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,25,13,1,776.37,776.37,25,0.9,265.6,3187.2,126.47,139.13,0.4762,0.5238,0.2859,0.0,0.0,0.0,0.7491,0.753,0.0039,2,0.0,0.0,0.0,1.4375,73.44,99.71,88.62,35.68,82.53,annual_decision_evidence_not_monthly_discount,6,1,4,2,existing_living_zone,CANDIDATE_LIVING_ZONE|LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_001,driver_001,stable_local_low_mileage,2026-12,12,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,25,14,2,780.03,780.03,25,0.9,278.4,3340.8,215.57,62.83,0.7743,0.2257,0.0636,0.0,0.0,0.0,0.7691,0.7184,-0.0507,2,0.0,0.9278,0.0,0.0,72.16,94.43,100.0,9.56,88.06,annual_decision_evidence_not_monthly_discount,11,0,3,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
