year,aggregation_scope,region_count,total_acc_cnt,total_dth_cnt,night_acc_cnt,night_dth_cnt,elderly_driver_acc_cnt,elderly_driver_dth_cnt,elderly_accident_acc_cnt,elderly_accident_dth_cnt,night_accident_share,night_death_share,elderly_driver_accident_share,elderly_driver_death_share,elderly_accident_share,elderly_accident_death_share,total_fatality_rate,night_fatality_rate,elderly_driver_fatality_rate,elderly_accident_fatality_rate,night_fatality_weight,elderly_driver_fatality_weight,elderly_accident_fatality_weight,speeding_weight,centerline_violation_weight,signal_violation_weight,safety_distance_weight,safe_driving_violation_weight,pedestrian_protection_weight,single_vehicle_weight,speeding_weight_available,speeding_weight_reference_2010_2020
2010,sido_total_rows_only,16,226878,5505,111159,2996,12623,547,25810,1752,0.49,0.5442,0.0556,0.0994,0.1138,0.3183,2.4266,2.6946,4.3343,6.7875,1.1104,1.7862,2.7972,0.001776,0.06202,0.114436,0.101931,0.551318,0.07143,0.046201,1,0.003108
2011,sido_total_rows_only,16,221711,5229,107530,2795,13596,605,26483,1724,0.485,0.5345,0.0613,0.1157,0.1194,0.3297,2.359,2.6004,4.4501,6.5088,1.1023,1.8865,2.7592,0.001818,0.058324,0.110522,0.100649,0.558132,0.068431,0.046543,1,0.003108
2012,sido_total_rows_only,17,223656,5392,107127,2805,15190,718,28185,1864,0.479,0.5202,0.0679,0.1332,0.126,0.3457,2.41,2.6198,4.7258,6.6141,1.0871,1.9609,2.7445,0.001686,0.058205,0.113151,0.099595,0.560642,0.06582,0.049545,1,0.003108
2013,sido_total_rows_only,17,215354,5092,100285,2702,17590,737,30283,1833,0.4657,0.5306,0.0817,0.1447,0.1406,0.36,2.3635,2.6947,4.1914,6.0542,1.1401,1.7734,2.5615,0.001983,0.057227,0.113418,0.093363,0.563732,0.066899,0.050912,1,0.003108
2014,sido_total_rows_only,17,223552,4762,101280,2446,20275,763,33170,1815,0.453,0.5136,0.0907,0.1602,0.1484,0.3811,2.1291,2.4156,3.7642,5.4723,1.1346,1.768,2.5702,0.002304,0.05409,0.114971,0.092497,0.565099,0.064151,0.049447,1,0.003108
2015,sido_total_rows_only,17,232035,4621,102986,2369,23063,815,36053,1814,0.4438,0.5127,0.0994,0.1764,0.1554,0.3926,1.9905,2.2988,3.5337,5.0317,1.1549,1.7753,2.5279,0.002556,0.051708,0.114254,0.093555,0.562635,0.063228,0.049902,1,0.003108
2016,sido_total_rows_only,17,220917,4292,95109,2157,24429,759,35761,1732,0.4305,0.5026,0.1106,0.1768,0.1619,0.4035,1.9431,2.2668,3.1074,4.8426,1.1666,1.5992,2.4922,0.003001,0.048489,0.110485,0.093519,0.563103,0.066097,0.047135,1,0.003108
2017,sido_total_rows_only,17,216335,4185,90766,2109,26713,848,37555,1767,0.4196,0.5039,0.1235,0.2026,0.1736,0.4222,1.9356,2.3233,3.1733,4.7034,1.2003,1.6395,2.43,0.003878,0.047075,0.112594,0.092694,0.560806,0.065773,0.044094,1,0.003108
2018,sido_total_rows_only,17,217148,3781,90197,1863,30012,843,38647,1682,0.4154,0.4927,0.1382,0.223,0.178,0.4449,1.7412,2.0644,2.8075,4.3517,1.1856,1.6124,2.4993,0.004375,0.044021,0.113862,0.094189,0.560894,0.064767,0.045582,1,0.003108
2019,sido_total_rows_only,17,229600,3349,91067,1599,33239,769,40645,1523,0.3966,0.4775,0.1448,0.2296,0.177,0.4548,1.4599,1.7552,2.3131,3.746,1.2022,1.5844,2.5659,0.004895,0.040697,0.121607,0.097879,0.548807,0.066951,0.044051,1,0.003108
2020,sido_total_rows_only,17,209654,3081,83258,1463,31072,720,35312,1342,0.3971,0.4748,0.1482,0.2337,0.1684,0.4356,1.4704,1.7561,2.3175,3.7998,1.1943,1.576,2.5842,0.005919,0.039894,0.116916,0.102402,0.55459,0.067154,0.042346,1,0.003108
2021,sido_total_rows_only,17,203130,2916,76458,1310,31841,709,34907,1295,0.3764,0.4492,0.1568,0.2431,0.1718,0.4441,1.4371,1.7144,2.2279,3.7105,1.193,1.5503,2.5819,0.0,0.041963,0.121144,0.103604,0.550219,0.060149,0.038537,0,0.003108
2022,sido_total_rows_only,17,196836,2735,73864,1234,34652,735,35914,1258,0.3753,0.4512,0.176,0.2687,0.1825,0.46,1.3889,1.6712,2.1222,3.5041,1.2033,1.528,2.523,0.0,0.03917,0.116086,0.101099,0.565481,0.058185,0.039988,0,0.003108
2023,sido_total_rows_only,17,198296,2551,71809,1149,39614,745,38960,1240,0.3621,0.4504,0.1998,0.292,0.1965,0.4861,1.2849,1.5981,1.8802,3.1839,1.2438,1.4633,2.4779,0.0,0.037242,0.118227,0.11211,0.559104,0.055775,0.042174,0,0.003108
2024,sido_total_rows_only,17,196349,2521,68919,1082,42369,761,40208,1299,0.351,0.4292,0.2158,0.3019,0.2048,0.5153,1.2827,1.571,1.7961,3.2301,1.2248,1.4002,2.5182,0.0,0.035911,0.113935,0.122878,0.555842,0.052183,0.04056,0,0.003108
